eventDate,scientificName,scientificNameAuthorship,genericcolumn1,locality,associatedTaxa,recordedBy,associatedCollectors,samplingEffort,locationRemarks,occurrenceRemarks,genericcolumn2,substrate,habitat,individualCount,reproductiveCondition,cultivationStatus,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,country,stateProvince,county,municipality,path,otherCatalogNumbers,collectionName
2017-10-16,Crepidotus applanatus,(Pers.) P. Kumm.,"Damp ground, a lot of moss","US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail.",,Krisha Wheeler,"Briton Vanmaanen, Alexa Barnett",The Power Puff(Ball) Girls Collection,,"""Flat Crep""",,On bark of a tree,Hardwood forest,,,0,35.250277,-85.753888,50,5610,US,Tennessee,Grundy County,Tracy City,,'1-1,Herbarium of the University of Tennessee at Chattanooga
2017-10-16,Russula spp.,,Ground damp,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Briton Vanmaanen,"Krisha Wheeler, Alexa Barnett",The Power Puff(Ball) Girls Collection,,,,"Soil, near decaying log",Hardwood forest,,,0,35.250277,-85.746944,50,5807,US,Tennessee,Grundy County,Tracy City,,'1-2,Herbarium of the University of Tennessee at Chattanooga
2017-10-16,Daedaleopsis confragosa,(Bolton) J. Schröt.,,"US, Tennessee, Warren County, McMinnville, near McDowell Lane",,Krisha Wheeler,"Briton Vanmaanen, Alexa Barnett",The Power Puff(Ball) Girls Collection,,"""Thin-walled Mazed Polypore""",,Bark,Hardwood forest,,,0,35.749444,-85.749444,50,5774,US,Tennessee,Warren County,McMinnville,,'1-3,Herbarium of the University of Tennessee at Chattanooga
2017-10-16,Marasmius capillaris,,Dead leaves around,"US, Tennessee, Hamilton County, Harrison, near Birchwood Pike",,Krisha Wheeler,"Briton Vanmaanen, Alexa Barnett",The Power Puff(Ball) Girls Collection,,,,"Around roots, leaves",Hardwood forest,,,0,35.249722,-85.068333,50,,US,Tennessee,Hamilton County,Harrison,,'1-4,Herbarium of the University of Tennessee at Chattanooga
2017-10-16,Russula spp.,,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Briton Vanmaanen,"Krisha Wheeler, Alexa Barnett",The Power Puff(Ball) Girls Collection,,Red cap,Russula,,Hardwood forest,,,0,35.251388,-85.747222,50,5938,US,Tennessee,Grundy County,Tracy City,,'1-5,Herbarium of the University of Tennessee at Chattanooga
2017-10-16,Russula spp.,,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Briton Vanmaanen,"Krisha Wheeler, Alexa Barnett",The Power Puff(Ball) Girls Collection,,"Sticky cap, no milk",Russula,Soil,Hardwood forest,,,0,35.251111,-85.748888,50,5803,US,Tennessee,Grundy County,Tracy City,,'1-6,Herbarium of the University of Tennessee at Chattanooga
2017-10-16,Bisporella citrina,(Batsch) Korf & S.E. Carp.,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Krisha Wheeler,"Briton Vanmaanen, Alexa Barnett",The Power Puff(Ball) Girls Collection,,,,Bark,Hardwood forest,,,0,35.250277,-85.753888,50,5610,US,Tennessee,Grundy County,Tracy City,,'1-7,Herbarium of the University of Tennessee at Chattanooga
2017-10-16,Lycogala epidendrum,(L.) Fr.,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Briton Vanmaanen,"Krisha Wheeler, Alexa Barnett",The Power Puff(Ball) Girls Collection,,,,Bark,Hardwood forest,,,0,35.250833,-85.748333,50,5971,US,Tennessee,Grundy County,Tracy City,,'1-8,Herbarium of the University of Tennessee at Chattanooga
2017-10-16,Hypomyces hyalinus,(Schwein.) Tul. & C. Tul.,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",Amanita,Krisha Wheeler,"Briton Vanmaanen, Alexa Barnett",The Power Puff(Ball) Girls Collection,,Growing on an amanita,,On amanita,Hardwood forest,,,0,35.249444,-85.751666,50,5708,US,Tennessee,Grundy County,Tracy City,,'1-9,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Onnia tomentosa,(Fr.) P. Karst.,Damp grounds,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Alexa Barnett,"Krisha Wheeler, Briton Vanmaanen",The Power Puff(Ball) Girls Collection,,"""Wooly Velvet Polypore"", Growing around pine twig and needles, KOH- black",,Pine branch with needles,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-10,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Lactarius spp.,,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Briton Vanmaanen,"Krisha Wheeler, Alexa Barnett",The Power Puff(Ball) Girls Collection,,KOH- negative,,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-11,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Coltricia cinnamomea,(Jacq.) Murrill,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Krisha Wheeler,"Briton Vanmaanen, Alexa Barnett",The Power Puff(Ball) Girls Collection,,"""Shiny Cinnamon Polypore""",,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-12,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Hygrocybe cantharellus,(Schwein.) Murrill,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Alexa Barnett,"Krisha Wheeler, Briton Vanmaanen",The Power Puff(Ball) Girls Collection,,Bright orange,,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-13,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Clavariadelphus unicolor,(Berk. & Ravenel) Corner,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Briton Vanmaanen,"Krisha Wheeler, Alexa Barnett",The Power Puff(Ball) Girls Collection,,,,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-14,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Scleroderma citrinum,Pers.,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Krisha Wheeler,"Briton Vanmaanen, Alexa Barnett",The Power Puff(Ball) Girls Collection,,"KOH- red, Spore print- black",,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-15,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Craterellus tubaeformis,(Fr.) Quél.,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Alexa Barnett,"Krisha Wheeler, Briton Vanmaanen",The Power Puff(Ball) Girls Collection,,,,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-16,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Lactarius deceptivus,,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Briton Vanmaanen,"Krisha Wheeler, Alexa Barnett",The Power Puff(Ball) Girls Collection,,"""Deceptive Milky""",,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-17,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Grifola frondosa,(Dicks.) Gray,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Krisha Wheeler,"Briton Vanmaanen, Alexa Barnett",The Power Puff(Ball) Girls Collection,,"""Hen of the Woods""",,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-18,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Conocybe tenera,(Schaeff.) Fayod,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Alexa Barnett,"Krisha Wheeler, Briton Vanmaanen",The Power Puff(Ball) Girls Collection,,"""Brown Dunce Cap"", Spore print- brown",,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-19,Herbarium of the University of Tennessee at Chattanooga
2017-10-03,Alnicola spp.,,,"US, Tennessee, Grundy County, Tracy City, Fiery Gizzard Trail",,Briton Vanmaanen,"Krisha Wheeler, Alexa Barnett",The Power Puff(Ball) Girls Collection,,Alnicola melinoides; brown spore print; brown ellipticle spores,,,Hardwood forest,,,0,35.251905,-85.747227,120,,US,Tennessee,Grundy County,Tracy City,,'1-20,Herbarium of the University of Tennessee at Chattanooga
