sadf,scientificName,scientificNameAuthorship,genericcolumn1,locality,associatedTaxa,recordedBy,associatedCollectors,samplingEffort,locationRemarks,occurrenceRemarks,genericcolumn2,substrate,habitat,individualCount,reproductiveCondition,establishmentMeans,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,country,stateProvince,county,municipality,path,catalogNumber,identifiedBy,dateIdentified,otherCatalogNumbers,Unnamed: 30
2018-05-30,Caulophyllum thalictroides,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .5 miles from parking lot as trail begins to steeply descend from Cumberland Plateau to Eastern Highland Rim Escarpment. Moist substrate overlying limestone.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,,508,,,,,,,,,9-9,
2018-05-30,asdfase,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .5 miles from parking lot as trail begins to steeply descend from Cumberland Plateau to Eastern Highland Rim Escarpment. Moist substrate overlying limestone.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,,508,,,,,,,,,9-11,
2018-05-30,,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .5 miles from parking lot as trail begins to steeply descend from Cumberland Plateau to Eastern Highland Rim Escarpment. Moist substrate overlying limestone.",Carpinus caroliniana,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,,508,,,,,,,,,9-#,
2018-05-30,Carya tomentosa,Nutt.,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .4 miles along trail from parking lot, below cliff face adjacent to creek.","Amelanchier canadensis, Scleria triglomerata, Scleromitrion diffusum, Carex hirsutella, Houstonia purpurea var. purpurea, Rhynchospora capitellata, Penstemon brevisepalus, Houstonia caerulea","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00402,-86.05846,84.952,489,US,Tennessee,Franklin County,Belvidere,,,Lindsey Long,,8-233,
2018-05-30,Amelanchier canadensis,(L.) Medicus,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .4 miles along trail from parking lot, below cliff face adjacent to creek.","Scleria triglomerata, Scleromitrion diffusum, Carex hirsutella, Houstonia purpurea var. purpurea, Rhynchospora capitellata, Carya tomentosa, Penstemon brevisepalus, Houstonia caerulea","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00402,-86.05846,84.952,489,US,Tennessee,Franklin County,Belvidere,,,Jade Harry,,8-193,
2018-05-30,Houstonia purpurea var. purpurea,(Willd.) R.J.Wang,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .4 miles along trail from parking lot, below cliff face adjacent to creek.","Amelanchier canadensis, Scleria triglomerata, Scleromitrion diffusum, Carex hirsutella, Rhynchospora capitellata, Carya tomentosa, Penstemon brevisepalus, Houstonia caerulea","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00402,-86.05846,84.952,489,US,Tennessee,Franklin County,Belvidere,,,Jade Harry,,8-192,
2018-05-30,Houstonia caerulea,L.,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .4 miles along trail from parking lot, below cliff face adjacent to creek.","Amelanchier canadensis, Scleria triglomerata, Scleromitrion diffusum, Carex hirsutella, Houstonia purpurea var. purpurea, Rhynchospora capitellata, Carya tomentosa, Penstemon brevisepalus","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00402,-86.05846,84.952,489,US,Tennessee,Franklin County,Belvidere,,,Jade Harry,,8-188,
2018-05-30,,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .4 miles along trail from parking lot, below cliff face adjacent to creek.","Amelanchier canadensis, Scleria triglomerata, Scleromitrion diffusum, Carex hirsutella, Houstonia purpurea var. purpurea, Rhynchospora capitellata, Carya tomentosa, Penstemon brevisepalus, Houstonia caerulea","Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00402,-86.05846,84.952,489,,,,,,,,,8-#,
2018-05-30,Carex physorhyncha,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,,,,,,,,,7-8,
2018-05-30,Carex physorhyncha,,,"US, Tennessee, Franklin County, Belvidere. Walls of Jericho Trail, approximately .3 miles from parking lot. Xeric site with sandstone outcrops, Amelanchier dominant.",,"Joey Shaw, John Shelton, Alaina Krakowiak, Jade Harry, Megon Stepaniuk",2018 UTC Field Botany Class,Flora of Tennessee,,,,,,,,,35.00399,-86.05879,21.238,508,,,,,,,,,7-7,
